observed_unix_seconds,origin,reachable,chunk_body_bytes,metadata_body_bytes,chunk_requests,disconnects,http_503s,error
1789756395.454279,http://127.0.0.1:61619,1,20044966,124970,296,42,1,
1789756395.79409,http://127.0.0.1:61619,1,20254082,124970,300,42,1,
1789756396.073041,http://127.0.0.1:61619,1,20426114,124970,300,42,1,
1789756396.347908,http://127.0.0.1:61619,1,20605233,124970,302,43,1,
1789756396.6289291,http://127.0.0.1:61619,1,20733927,124970,304,43,1,
1789756396.948421,http://127.0.0.1:61619,1,20929554,124970,310,44,1,
1789756397.231856,http://127.0.0.1:61619,1,21110265,124970,313,44,1,
1789756397.556413,http://127.0.0.1:61619,1,21312297,124970,317,45,1,
1789756397.8265758,http://127.0.0.1:61619,1,21481296,124970,318,45,1,
1789756398.102937,http://127.0.0.1:61619,1,21654135,124970,320,45,1,
1789756398.382048,http://127.0.0.1:61619,1,21828441,124970,323,46,1,
1789756398.679627,http://127.0.0.1:61619,1,22011776,124970,326,46,1,
1789756398.956278,http://127.0.0.1:61619,1,22183808,124970,326,46,1,
1789756399.2459588,http://127.0.0.1:61619,1,22364833,124970,329,47,1,
1789756399.522995,http://127.0.0.1:61619,1,22536272,124970,333,47,1,
1789756399.79394,http://127.0.0.1:61619,1,22708919,124970,333,47,1,
1789756400.0727181,http://127.0.0.1:61619,1,22882583,124970,335,47,1,
1789756400.344918,http://127.0.0.1:61619,1,23049986,124970,337,48,1,
1789756400.622781,http://127.0.0.1:61619,1,23223171,124970,342,48,1,
1789756400.89536,http://127.0.0.1:61619,1,23397861,124970,343,49,1,
1789756401.164072,http://127.0.0.1:61619,1,23534783,124970,346,49,1,
1789756401.487456,http://127.0.0.1:61619,1,23735090,124970,352,50,1,
1789756401.763407,http://127.0.0.1:61619,1,23911790,124970,355,50,1,
1789756402.039305,http://127.0.0.1:61619,1,24079249,124970,358,51,1,
1789756402.312336,http://127.0.0.1:61619,1,24252674,124970,360,51,1,
1789756402.594412,http://127.0.0.1:61619,1,24431149,124970,362,51,1,
1789756402.9009879,http://127.0.0.1:61619,1,24618121,124970,367,52,1,
1789756403.1739159,http://127.0.0.1:61619,1,24785668,124970,369,52,1,
1789756403.450134,http://127.0.0.1:61619,1,24959858,124970,372,53,1,
1789756403.732613,http://127.0.0.1:61619,1,25136745,124970,375,53,1,
1789756404.0083551,http://127.0.0.1:61619,1,25308070,124970,376,53,1,
1789756404.282403,http://127.0.0.1:61619,1,25480102,124970,376,53,1,
1789756404.570396,http://127.0.0.1:61619,1,25666632,124970,381,54,1,
1789756404.852818,http://127.0.0.1:61619,1,25841789,124970,382,54,1,
1789756405.131284,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756405.408663,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756405.6839051,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756405.968519,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756406.246654,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756406.522727,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756406.797929,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
